iter	Passed	Remaining
0	1	144
1	2	131
2	4	137
3	5	129
4	6	128
5	7	124
6	9	122
7	10	118
8	11	116
9	12	114
10	13	111
11	14	108
12	15	105
13	16	102
14	18	102
15	19	100
16	20	98
17	21	96
18	22	95
19	23	94
20	25	94
21	25	92
22	27	90
23	28	89
24	29	88
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	36	82
31	37	80
32	38	78
33	39	77
34	40	75
35	41	74
36	43	73
37	44	72
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	48
57	64	46
58	65	45
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	87	25
77	87	24
78	88	23
79	89	22
80	91	21
81	93	20
82	94	19
83	95	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
