iter	Passed	Remaining
0	144	144222
1	146	73190
2	149	49628
3	152	37866
4	155	30963
5	158	26320
6	161	22907
7	164	20377
8	167	18455
9	170	16883
10	173	15583
11	176	14527
12	179	13631
13	182	12852
14	185	12182
15	188	11575
16	191	11060
17	194	10597
18	197	10178
19	199	9786
20	202	9435
21	204	9113
22	207	8835
23	210	8564
24	213	8308
25	215	8081
26	218	7880
27	221	7678
28	223	7491
29	226	7319
30	228	7148
31	231	6991
32	233	6845
33	236	6721
34	239	6590
35	241	6469
36	244	6356
37	247	6253
38	249	6140
39	251	6037
40	254	5949
41	256	5859
42	259	5772
43	261	5690
44	264	5611
45	267	5538
46	269	5462
47	272	5397
48	274	5329
49	277	5264
50	279	5204
51	282	5143
52	284	5084
53	287	5028
54	289	4974
55	291	4921
56	294	4871
57	297	4825
58	299	4777
59	301	4731
60	304	4686
61	306	4642
62	309	4602
63	311	4561
64	314	4521
65	316	4485
66	319	4448
67	322	4414
68	324	4378
69	327	4345
70	329	4313
71	332	4280
72	334	4248
73	337	4218
74	339	4191
75	342	4163
76	345	4137
77	347	4108
78	349	4080
79	352	4056
80	355	4031
81	357	4006
82	359	3970
83	361	3947
84	364	3923
85	366	3899
86	369	3878
87	371	3854
88	374	3833
89	377	3812
90	379	3788
91	381	3769
92	384	3748
93	386	3729
94	389	3708
95	391	3687
96	394	3671
97	396	3652
98	399	3635
99	401	3617
100	404	3600
101	407	3584
102	410	3570
103	412	3554
104	415	3537
105	417	3520
106	419	3503
107	422	3488
108	424	3472
109	427	3456
110	429	3441
111	432	3427
112	434	3412
113	437	3399
114	439	3384
115	442	3368
116	444	3351
117	446	3337
118	448	3323
119	451	3310
120	453	3296
121	456	3282
122	458	3270
123	461	3260
124	463	3246
125	466	3235
126	468	3221
127	471	3210
128	473	3198
129	476	3186
130	478	3174
131	481	3163
132	483	3152
133	486	3142
134	488	3131
135	491	3120
136	493	3109
137	496	3099
138	498	3089
139	501	3082
140	504	3074
141	506	3057
142	508	3048
143	511	3039
144	514	3031
145	516	3022
146	519	3013
147	522	3005
148	524	2996
149	527	2989
150	530	2981
151	532	2973
152	535	2964
153	538	2956
154	540	2947
155	543	2938
156	545	2930
157	548	2922
158	550	2913
159	553	2905
160	555	2892
161	557	2884
162	559	2875
163	562	2865
164	564	2856
165	566	2847
166	569	2839
167	571	2831
168	574	2823
169	576	2815
170	579	2808
171	581	2801
172	584	2793
173	587	2787
174	589	2780
175	592	2774
176	594	2766
177	597	2758
178	600	2752
179	602	2745
180	605	2738
181	607	2732
182	610	2725
183	612	2718
184	615	2712
185	618	2705
186	620	2699
187	623	2692
188	625	2685
189	628	2679
190	630	2671
191	633	2665
192	635	2657
193	638	2651
194	640	2644
195	643	2639
196	645	2632
197	647	2624
198	650	2619
199	653	2613
200	655	2607
201	658	2601
202	661	2595
203	663	2589
204	666	2584
205	668	2578
206	671	2571
207	673	2564
208	675	2557
209	678	2551
210	680	2544
211	682	2538
212	685	2533
213	688	2527
214	690	2521
215	693	2515
216	695	2510
217	698	2505
218	700	2499
219	703	2493
220	705	2487
221	708	2482
222	710	2477
223	713	2472
224	716	2467
225	718	2462
226	721	2456
227	723	2450
228	726	2445
229	728	2440
230	731	2434
231	733	2429
232	736	2423
233	738	2418
234	741	2414
235	744	2409
236	747	2405
237	749	2399
238	751	2393
239	754	2388
240	756	2383
241	759	2377
242	761	2372
243	764	2367
244	766	2361
245	768	2356
246	771	2351
247	773	2345
248	776	2340
249	778	2336
250	781	2331
251	783	2326
252	786	2321
253	788	2316
254	791	2311
255	793	2305
256	795	2300
257	798	2295
258	800	2290
259	803	2287
260	806	2282
261	808	2277
262	811	2273
263	813	2268
264	816	2263
265	818	2259
266	821	2255
267	824	2250
268	826	2246
269	828	2241
270	831	2236
271	834	2232
272	836	2228
273	839	2224
274	842	2220
275	844	2216
276	847	2212
277	850	2208
278	853	2205
279	856	2202
280	859	2198
281	861	2193
282	863	2188
283	866	2183
284	868	2178
285	870	2174
286	873	2169
287	875	2165
288	878	2162
289	881	2158
290	884	2154
291	886	2150
292	889	2146
293	892	2142
294	894	2138
295	897	2134
296	900	2131
297	903	2127
298	905	2123
299	908	2119
300	911	2116
301	914	2112
302	916	2109
303	919	2105
304	922	2101
305	924	2097
306	927	2094
307	930	2091
308	933	2087
309	935	2082
310	938	2078
311	940	2074
312	943	2070
313	945	2066
314	948	2061
315	950	2057
316	953	2053
317	955	2049
318	958	2045
319	960	2041
320	963	2037
321	966	2034
322	968	2029
323	970	2025
324	973	2022
325	976	2018
326	979	2015
327	981	2011
328	984	2007
329	987	2004
330	989	2000
331	992	1997
332	995	1993
333	998	1990
334	1000	1986
335	1003	1982
336	1005	1978
337	1008	1974
338	1010	1970
339	1013	1967
340	1016	1963
341	1018	1959
342	1021	1956
343	1023	1952
344	1026	1948
345	1029	1945
346	1031	1941
347	1034	1938
348	1037	1934
349	1039	1930
350	1042	1927
351	1045	1923
352	1048	1921
353	1050	1917
354	1053	1913
355	1055	1910
356	1058	1906
357	1061	1902
358	1063	1899
359	1066	1896
360	1069	1893
361	1072	1889
362	1075	1886
363	1078	1884
364	1081	1880
365	1083	1877
366	1086	1874
367	1089	1870
368	1092	1867
369	1095	1864
370	1097	1860
371	1100	1857
372	1102	1853
373	1105	1850
374	1107	1846
375	1110	1843
376	1113	1839
377	1115	1835
378	1117	1830
379	1119	1827
380	1122	1823
381	1124	1819
382	1127	1815
383	1129	1811
384	1131	1807
385	1134	1803
386	1136	1800
387	1139	1797
388	1142	1793
389	1144	1790
390	1147	1787
391	1150	1784
392	1153	1781
393	1155	1777
394	1158	1774
395	1160	1770
396	1163	1767
397	1166	1763
398	1168	1760
399	1171	1757
400	1173	1753
401	1175	1749
402	1178	1745
403	1181	1742
404	1183	1739
405	1186	1736
406	1189	1732
407	1191	1729
408	1194	1726
409	1197	1723
410	1200	1719
411	1202	1715
412	1204	1712
413	1207	1708
414	1209	1705
415	1212	1701
416	1214	1698
417	1217	1695
418	1220	1692
419	1222	1688
420	1225	1685
421	1227	1681
422	1230	1678
423	1232	1675
424	1235	1671
425	1238	1668
426	1240	1664
427	1242	1661
428	1245	1657
429	1247	1654
430	1250	1651
431	1253	1647
432	1255	1644
433	1258	1641
434	1260	1637
435	1263	1634
436	1265	1630
437	1268	1627
438	1270	1624
439	1273	1620
440	1275	1616
441	1277	1613
442	1280	1609
443	1282	1606
444	1285	1603
445	1287	1599
446	1290	1596
447	1292	1593
448	1295	1589
449	1297	1586
450	1300	1582
451	1302	1579
452	1305	1576
453	1307	1572
454	1310	1569
455	1312	1565
456	1314	1562
457	1317	1558
458	1319	1555
459	1322	1552
460	1324	1548
461	1327	1545
462	1330	1542
463	1332	1539
464	1334	1535
465	1337	1532
466	1339	1529
467	1342	1526
468	1345	1523
469	1347	1519
470	1349	1516
471	1352	1512
472	1354	1509
473	1357	1506
474	1359	1502
475	1362	1499
476	1364	1496
477	1367	1492
478	1369	1489
479	1371	1486
480	1374	1482
481	1376	1479
482	1379	1476
483	1382	1473
484	1385	1470
485	1387	1467
486	1391	1465
487	1393	1462
488	1396	1459
489	1398	1455
490	1401	1452
491	1403	1449
492	1406	1446
493	1408	1443
494	1411	1439
495	1413	1436
496	1416	1433
497	1418	1430
498	1421	1426
499	1423	1423
500	1425	1420
501	1428	1417
502	1430	1413
503	1433	1410
504	1436	1407
505	1438	1404
506	1441	1401
507	1443	1398
508	1446	1394
509	1448	1391
510	1451	1388
511	1453	1385
512	1456	1382
513	1458	1379
514	1461	1376
515	1463	1372
516	1466	1370
517	1469	1367
518	1471	1364
519	1474	1361
520	1476	1357
521	1479	1354
522	1481	1351
523	1484	1348
524	1486	1344
525	1488	1341
526	1491	1338
527	1494	1335
528	1496	1332
529	1498	1329
530	1501	1325
531	1503	1322
532	1505	1319
533	1508	1316
534	1510	1313
535	1513	1310
536	1515	1306
537	1518	1303
538	1521	1301
539	1523	1297
540	1526	1294
541	1528	1291
542	1531	1288
543	1533	1285
544	1536	1282
545	1538	1279
546	1541	1276
547	1543	1273
548	1546	1270
549	1549	1267
550	1551	1264
551	1554	1261
552	1557	1258
553	1559	1255
554	1562	1252
555	1565	1249
556	1567	1246
557	1570	1243
558	1572	1240
559	1575	1237
560	1577	1234
561	1580	1231
562	1582	1228
563	1584	1224
564	1587	1221
565	1589	1218
566	1592	1215
567	1594	1212
568	1597	1209
569	1599	1206
570	1602	1203
571	1605	1200
572	1607	1197
573	1609	1194
574	1612	1191
575	1615	1188
576	1617	1185
577	1619	1182
578	1622	1179
579	1624	1176
580	1627	1173
581	1629	1170
582	1632	1167
583	1635	1164
584	1637	1161
585	1640	1158
586	1642	1155
587	1645	1152
588	1647	1149
589	1650	1146
590	1652	1143
591	1654	1140
592	1657	1137
593	1659	1134
594	1662	1131
595	1664	1128
596	1666	1125
597	1669	1122
598	1671	1119
599	1674	1116
600	1676	1112
601	1678	1109
602	1681	1106
603	1683	1103
604	1686	1100
605	1688	1097
606	1691	1094
607	1693	1091
608	1696	1088
609	1698	1086
610	1701	1082
611	1703	1079
612	1706	1077
613	1708	1074
614	1711	1071
615	1713	1068
616	1716	1065
617	1718	1062
618	1721	1059
619	1724	1056
620	1726	1053
621	1729	1051
622	1732	1048
623	1734	1045
624	1737	1042
625	1740	1039
626	1742	1036
627	1745	1033
628	1747	1030
629	1750	1027
630	1752	1024
631	1755	1022
632	1757	1019
633	1760	1016
634	1763	1013
635	1765	1010
636	1768	1007
637	1770	1004
638	1772	1001
639	1775	998
640	1777	995
641	1780	992
642	1782	989
643	1785	986
644	1787	983
645	1789	980
646	1791	977
647	1794	974
648	1796	971
649	1799	968
650	1801	965
651	1803	962
652	1806	959
653	1808	956
654	1811	953
655	1813	950
656	1815	947
657	1818	945
658	1820	942
659	1823	939
660	1825	936
661	1828	933
662	1830	930
663	1833	927
664	1835	924
665	1838	922
666	1841	919
667	1843	916
668	1845	913
669	1848	910
670	1851	907
671	1853	904
672	1855	901
673	1858	898
674	1860	895
675	1862	892
676	1865	890
677	1868	887
678	1870	884
679	1873	881
680	1875	878
681	1878	875
682	1881	873
683	1883	870
684	1886	867
685	1889	864
686	1891	861
687	1894	858
688	1896	856
689	1899	853
690	1901	850
691	1904	847
692	1906	844
693	1909	841
694	1911	838
695	1914	836
696	1916	833
697	1918	830
698	1921	827
699	1923	824
700	1926	821
701	1928	818
702	1931	815
703	1933	812
704	1936	810
705	1938	807
706	1940	804
707	1943	801
708	1945	798
709	1948	795
710	1950	792
711	1953	790
712	1955	787
713	1957	784
714	1960	781
715	1962	778
716	1965	775
717	1968	773
718	1970	770
719	1973	767
720	1976	764
721	1978	761
722	1981	759
723	1983	756
724	1986	753
725	1988	750
726	1991	747
727	1993	744
728	1996	742
729	1998	739
730	2001	736
731	2003	733
732	2006	730
733	2008	727
734	2011	725
735	2013	722
736	2016	719
737	2018	716
738	2021	713
739	2023	711
740	2026	708
741	2028	705
742	2030	702
743	2032	699
744	2035	696
745	2038	693
746	2040	691
747	2043	688
748	2046	685
749	2048	682
750	2051	680
751	2053	677
752	2056	674
753	2058	671
754	2061	668
755	2063	666
756	2066	663
757	2068	660
758	2071	657
759	2073	654
760	2076	652
761	2078	649
762	2081	646
763	2083	643
764	2086	640
765	2088	638
766	2091	635
767	2093	632
768	2096	629
769	2098	626
770	2100	624
771	2103	621
772	2105	618
773	2108	615
774	2110	612
775	2113	609
776	2115	607
777	2118	604
778	2120	601
779	2123	598
780	2125	596
781	2128	593
782	2130	590
783	2133	587
784	2135	584
785	2138	582
786	2140	579
787	2142	576
788	2145	573
789	2147	570
790	2149	568
791	2152	565
792	2155	562
793	2157	559
794	2160	557
795	2162	554
796	2165	551
797	2167	548
798	2170	546
799	2172	543
800	2175	540
801	2178	537
802	2180	534
803	2182	532
804	2185	529
805	2188	526
806	2190	523
807	2193	521
808	2195	518
809	2198	515
810	2200	512
811	2202	510
812	2204	507
813	2207	504
814	2209	501
815	2212	498
816	2214	496
817	2217	493
818	2219	490
819	2222	487
820	2224	485
821	2227	482
822	2229	479
823	2232	476
824	2234	474
825	2237	471
826	2239	468
827	2242	465
828	2244	463
829	2247	460
830	2250	457
831	2252	454
832	2255	452
833	2257	449
834	2260	446
835	2262	443
836	2265	441
837	2267	438
838	2270	435
839	2273	432
840	2275	430
841	2278	427
842	2281	424
843	2283	422
844	2286	419
845	2289	416
846	2291	414
847	2294	411
848	2296	408
849	2299	405
850	2301	403
851	2304	400
852	2306	397
853	2309	394
854	2312	392
855	2314	389
856	2317	386
857	2319	383
858	2321	381
859	2324	378
860	2326	375
861	2329	372
862	2331	370
863	2334	367
864	2336	364
865	2338	361
866	2341	359
867	2343	356
868	2345	353
869	2348	350
870	2350	348
871	2352	345
872	2355	342
873	2357	339
874	2360	337
875	2363	334
876	2365	331
877	2368	329
878	2370	326
879	2373	323
880	2376	321
881	2378	318
882	2381	315
883	2384	312
884	2386	310
885	2389	307
886	2391	304
887	2394	301
888	2396	299
889	2399	296
890	2401	293
891	2404	291
892	2407	288
893	2410	285
894	2412	283
895	2415	280
896	2418	277
897	2420	274
898	2423	272
899	2426	269
900	2428	266
901	2431	264
902	2433	261
903	2436	258
904	2439	256
905	2441	253
906	2444	250
907	2447	247
908	2449	245
909	2452	242
910	2454	239
911	2457	237
912	2460	234
913	2462	231
914	2465	229
915	2468	226
916	2470	223
917	2473	220
918	2475	218
919	2478	215
920	2480	212
921	2483	210
922	2485	207
923	2488	204
924	2490	201
925	2493	199
926	2495	196
927	2498	193
928	2500	191
929	2503	188
930	2505	185
931	2508	183
932	2511	180
933	2513	177
934	2516	174
935	2519	172
936	2521	169
937	2524	166
938	2527	164
939	2530	161
940	2532	158
941	2535	156
942	2537	153
943	2540	150
944	2542	148
945	2545	145
946	2548	142
947	2550	139
948	2552	137
949	2556	134
950	2558	131
951	2561	129
952	2563	126
953	2566	123
954	2568	121
955	2571	118
956	2573	115
957	2576	112
958	2578	110
959	2580	107
960	2583	104
961	2585	102
962	2588	99
963	2590	96
964	2593	94
965	2595	91
966	2598	88
967	2601	85
968	2603	83
